cid,cid_geom
SDAA027,POINT(-97.13273716439743 43.73803865173377)
SDAA289,POINT(-96.52772271008739 44.45419538587626)
SDAA029,POINT(-101.0555581137844 43.37405111388663)
SDAA032,POINT(-102.5310682954099 43.20414393797471)
SDAA227,POINT(-96.81417154915327 43.74847873067554)
SDAA228,POINT(-96.86718242216868 43.54672610090862)
SDAA231,POINT(-97.6892314501583 44.36813264634955)
SDAA235,POINT(-98.91450273743631 45.55677083975152)
SDAA238,POINT(-102.0198114007804 45.49431495538205)
SDAA286,POINT(-101.551124862646 44.71210715732927)
SDAA241,POINT(-100.3280909780143 43.68978950761151)
SDAA285,POINT(-96.79255114550423 43.66171695359723)
SDAA310,POINT(-96.5501362719074 43.32693538032483)
SDAA250,POINT(-103.3299560990917 43.10009958733708)
SDAA057,POINT(-100.7922812052061 43.49398264746133)
SDAA192,POINT(-96.93360398918995 43.76279993519328)
SDAA254,POINT(-96.74166532884793 43.01981647397611)
SDAA283,POINT(-97.67225882862834 43.52464895521966)
SDAA256,POINT(-98.49020363369021 43.77888341608436)
SDAA257,POINT(-96.78937745377222 43.6353966135926)
SDAA258,POINT(-100.2931927630756 44.00321716815573)
SDAA260,POINT(-98.90664498453398 43.68616921020722)
SDAA270,POINT(-97.35153697171567 44.12362183818117)
SDAA484,POINT(-98.60594576215534 43.49286240503849)
SDAA337,POINT(-101.8697588186142 45.56555811259899)
SDAA189,POINT(-96.85967757316224 43.70161299164796)
SDAA343,POINT(-96.93733547069492 43.72557832444691)
SDAA188,POINT(-101.7321497444151 45.25969848708349)
SDAA060,POINT(-97.1952888278316 44.56354980176724)
SDAA349,POINT(-100.6503594230819 43.42232238286704)
SDAA352,POINT(-97.6821138030332 44.80961623083184)
SDAA360,POINT(-97.28150730272468 43.90282369636005)
SDAA338,POINT(-96.54227508916871 44.13126954934572)
SDAA335,POINT(-96.89062686624303 42.75214675616965)
SDAA196,POINT(-96.93257421278891 42.92780761667534)
SDAA332,POINT(-98.80748743212631 44.06377485738553)
SDAA051,POINT(-97.48496190225706 44.0237995362593)
SDAA200,POINT(-96.96782654128627 45.76034270804918)
SDAA203,POINT(-96.8400979862061 43.97478491545679)
SDAA008,POINT(-96.80772704991283 43.66062367119201)
SDAA216,POINT(-100.7416654357442 45.61993326477749)
SDAA047,POINT(-96.48799785391242 45.0108633373405)
SDAA277,POINT(-97.24852643156316 43.10582580015559)
SDAA221,POINT(-96.73989674158545 43.93917073176099)
SDAA275,POINT(-97.10003929905979 43.15838478476104)
SDAA190,POINT(-100.0749273811821 43.272980254979)
SDAA528,POINT(-98.14098608226162 43.06386639564181)
SDAA515,POINT(-96.56155439846884 44.90292871581467)
SDAA535,POINT(-97.57482698077702 44.18994181833205)
SDAA533,POINT(-96.79358274820713 43.69707559435506)
SDAA531,POINT(-99.07902624940584 45.21121533461608)
SDAA536,POINT(-97.03429677853083 43.59697932666245)
SDAA166,POINT(-96.55002645024945 43.98762063034048)
SDAA586,POINT(-96.56494614787263 43.21046535546009)
SDAA590,POINT(-98.45042058651917 43.00774509673622)
SDAA099,POINT(-100.5035591474528 45.3165204275629)
SDAA261,POINT(-98.17690230708772 45.42002359335325)
SDAA608,POINT(-97.18474892441897 43.70062049994737)
SDAA070,POINT(-103.6423615140685 43.91784710434244)
SDAA086,POINT(-97.2243160405666 44.16545778509649)
SDAA537,POINT(-102.5703091550856 44.50584098607564)
SDAA543,POINT(-103.0784918763045 44.15281391135847)
SDAA355,POINT(-102.4107316719202 43.98788027585872)
SDAA455,POINT(-102.4532636173589 43.62393156956357)
SDAA458,POINT(-102.3494336353051 44.25386743357321)
SDAA611,POINT(-102.4413445273777 43.53450466328574)
SDAA459,POINT(-102.6411977627849 43.50458526976048)
SDAA290,POINT(-97.77484201095903 44.70107005813798)
SDAA232,POINT(-102.4900331761748 43.81050496573315)
SDAA263,POINT(-99.30773231483867 44.00480193668788)
SDAA328,POINT(-103.6579005799314 43.88723120220429)
SDAA201,POINT(-101.1368801200325 43.0264981740972)
SDAA073,POINT(-103.8632319924361 43.55434030622354)
SDAA325,POINT(-103.7776129903177 45.93402127278826)
SDAA424,POINT(-103.6224539456307 44.50975086005573)
SDAA340,POINT(-100.078851797484 43.99938315186382)
SDAA052,POINT(-102.9162243888496 43.9620500497896)
SDAA206,POINT(-103.070580685757 44.16117245512439)
SDAA197,POINT(-102.6158110316029 44.21806992451766)
SDAA597,POINT(-102.8705960857435 44.04316355067556)
SDAA308,POINT(-102.476532726419 44.01481792358231)
SDAA199,POINT(-103.5777176020744 44.07469217558133)
SDAA059,POINT(-102.308272473186 43.51318873307299)
SDAA076,POINT(-103.5351980268471 44.23908758554446)
SDAA229,POINT(-99.24994258554618 44.99645137274057)
SDAA525,POINT(-99.42311238683187 43.98259439312463)
SDAA501,POINT(-101.8681064658005 43.12501375312583)
SDAA560,POINT(-102.7256878337666 43.60200518109899)
SDAA375,POINT(-102.9456088890702 43.72416443399548)
SDAA009,POINT(-103.2531760932401 44.91990732703716)
SDAA147,POINT(-102.514405986067 44.17401550642346)
SDAA056,POINT(-100.2439603194556 45.77095582539955)
SDAA580,POINT(-101.2826285447434 45.10539997952718)
SDAA398,POINT(-103.285511337007 45.01159918239679)
SDAA579,POINT(-102.6490544634517 44.63157923052425)
SDAA547,POINT(-102.7890969444915 43.66353101999574)
SDAA448,POINT(-101.2582495371523 45.41394144784945)
SDAA262,POINT(-101.9572011987008 45.36546097293648)
SDAA438,POINT(-103.529571895993 44.21484957527603)
SDAA578,POINT(-102.9758605286049 43.70929266976726)
SDAA110,POINT(-103.1100229891648 43.06614254563787)
SDAA248,POINT(-103.01846338378 44.01639481176081)
SDAA093,POINT(-96.93378663784796 45.22054762892078)
SDAA143,POINT(-103.4129998043126 44.29476445415403)
SDAA297,POINT(-102.1233245516197 45.20943713241867)
SDAA141,POINT(-102.4101067572188 44.64203042878182)
SDAA324,POINT(-103.0710296390203 44.26356202761283)
SDAA523,POINT(-99.40312328055182 43.29722961366122)
SDAA159,POINT(-103.2209160628403 44.65399386855727)
SDAA153,POINT(-102.6385045310736 43.51486381376986)
SDAA522,POINT(-102.1983629159269 45.00548705749144)
SDAA521,POINT(-101.960317932787 44.61977232522104)
SDAA346,POINT(-99.66069026746268 43.50816084938438)
SDAA412,POINT(-103.7160288391185 45.72416484654134)
SDAA344,POINT(-101.8175777096334 44.78483483507667)
SDAA500,POINT(-102.505561891975 43.92608017606977)
SDAA135,POINT(-101.1200894527105 43.76014189070137)
SDAA378,POINT(-102.725617092646 44.76342764217426)
SDAA562,POINT(-102.1575321488669 43.06707115718448)
SDAA179,POINT(-103.3583827138925 44.54568731010935)
SDAA368,POINT(-103.1539408069262 45.06238979961036)
SDAA150,POINT(-101.4613932667567 44.58903858239506)
SDAA363,POINT(-102.1863980247962 45.55541554759178)
SDAA307,POINT(-100.0502628502063 44.91036959763939)
SDAA534,POINT(-99.73161036892708 43.67554509869048)
SDAA604,POINT(-98.4228094001199 44.54530635619257)
SDAA397,POINT(-99.99249396105637 45.04430555623968)
SDAA407,POINT(-99.43370594440822 43.63596971309588)
SDAA357,POINT(-99.67877031849423 43.7256710193867)
SDAA280,POINT(-97.07325173131984 45.54013260781786)
SDAA065,POINT(-97.20846953158845 45.40081992878445)
SDAA499,POINT(-97.2614358823796 43.62498019642333)
SDAA072,POINT(-98.08982426376578 43.72828083283435)
SDAA287,POINT(-102.7819621667835 43.80819156803506)
SDAA013,POINT(-98.10312678752622 43.90254017728709)
SDAA417,POINT(-98.56993315382766 44.82108904771967)
SDAA050,POINT(-98.02887503416801 45.20891459280024)
SDAA133,POINT(-98.38882209015308 44.763730207664)
SDAA233,POINT(-97.7899585410438 45.74585061120737)
SDAA301,POINT(-98.64361993379332 43.42113845047687)
SDAA494,POINT(-98.19614634279797 44.73508703541324)
SDAA422,POINT(-102.0637968415687 44.63211223968054)
SDAA493,POINT(-103.4193496719017 43.57133501422422)
SDAA146,POINT(-101.7348559295293 44.7304822523633)
SDAA045,POINT(-100.677057993393 44.48120050843011)
SDAA085,POINT(-100.8860205331719 44.96325406175868)
SDAA022,POINT(-100.4509315784957 43.98740352406973)
SDAA156,POINT(-100.1629837056392 44.9893543800165)
SDAA370,POINT(-98.95454322748347 44.48816210579768)
SDAA299,POINT(-101.0004560003023 43.41330095893165)
SDAA185,POINT(-102.3535883503314 44.32571483566358)
SDAA376,POINT(-102.9082789889722 43.96177259204491)
SDAA092,POINT(-101.0487118923852 43.3599198244089)
SDAA504,POINT(-100.9583157532836 44.04389632165021)
SDAA312,POINT(-99.81941103763161 43.72033479538567)
SDAA186,POINT(-99.78359876820736 43.84048053252653)
SDAA433,POINT(-100.8230481927408 43.09600941992083)
SDAA023,POINT(-102.9645916645514 45.07016082544194)
SDAA348,POINT(-101.1153292665437 44.63828163651848)
SDAA068,POINT(-96.92887970536145 42.91235779228887)
SDAA434,POINT(-102.2359099852402 45.70314061458973)
SDAA247,POINT(-96.47601268951603 43.87293112809694)
SDAA319,POINT(-102.3156504924796 45.24400194788056)
SDAA549,POINT(-99.51206230957536 45.03325898149778)
SDAA402,POINT(-98.49700527216953 44.75950808905492)
SDAA453,POINT(-100.0203910086541 45.40577050883345)
SDAA205,POINT(-99.70575663251535 43.2940310154538)
SDAA492,POINT(-99.15199305903384 45.32366111628877)
SDAA255,POINT(-100.8936470177131 45.0914638198266)
SDAA314,POINT(-98.94238762074343 44.08348525537694)
SDAA566,POINT(-99.69655664733894 45.39324516366224)
SDAA139,POINT(-97.84442017893916 43.74975486493637)
SDAA194,POINT(-99.80490012748042 44.4584141908988)
SDAA252,POINT(-100.3201720527406 44.67434305586272)
SDAA420,POINT(-97.01971273219154 43.57226078749073)
SDAA568,POINT(-103.0034985849497 43.31577728088293)
SDAA318,POINT(-100.9823024564238 43.85300556201008)
NDAA346,POINT(-100.1048634522185 46.7098290538836)
NDAA534,POINT(-100.7758772239473 46.5991405380036)
NDAA062,POINT(-102.072943347235 47.17026785927034)
NDAA456,POINT(-97.93403782165095 46.27079721663358)
NDAA036,POINT(-102.696551305306 46.4695794723333)
NDAA183,POINT(-103.7663905831458 47.51637892759341)
NDAA521,POINT(-102.7756380711416 46.0288815309218)
NDAA125,POINT(-102.3329742997698 46.28681189969378)
NDAA452,POINT(-97.72108094315574 46.4742472990222)
NDAA514,POINT(-97.92677406018254 47.09218202683138)
NDAA417,POINT(-97.88450910326183 48.72063084261551)
NDAA213,POINT(-98.01161918755534 48.08053816228878)
NDAA263,POINT(-98.2486094456956 46.88367068747031)
NDAA308,POINT(-103.8167531335527 46.63025489505811)
NDAA103,POINT(-97.61134807723371 47.35493892211787)
NDAA473,POINT(-98.48811066982424 48.38413906357628)
NDAA205,POINT(-103.7038700787599 46.55623110636954)
NDAA153,POINT(-103.3923822501571 47.15971264404276)
NDAA490,POINT(-103.6836816942311 48.67395944361518)
NDAA501,POINT(-103.7412148172029 46.57820071539191)
NDAA476,POINT(-103.0336308256932 48.59485349086111)
NDAA432,POINT(-100.5938647541445 46.79440189722038)
NDAA046,POINT(-100.7212131792869 48.53443076522648)
NDAA391,POINT(-99.26645571835367 46.62439507424724)
NDAA250,POINT(-103.5778107124132 46.23067305520212)
NDAA536,POINT(-103.5977838093138 46.21961902627225)
NDAA339,POINT(-102.5493098447436 46.62813531536677)
NDAA003,POINT(-100.5687076732918 48.79473008814973)
NDAA348,POINT(-99.03463239195632 48.0193062928245)
NDAA357,POINT(-101.629113680822 48.60586486154396)
NDAA426,POINT(-100.5688385828259 47.07100107697814)
NDAA377,POINT(-100.7559987905246 47.26206522698673)
NDAA384,POINT(-102.8825174559783 47.77354857238319)
NDAA387,POINT(-100.4153373353109 46.95817388300145)
NDAA482,POINT(-101.0906562515321 47.9763726559828)
NDAA484,POINT(-98.62620053201506 47.33055240460413)
NDAA392,POINT(-100.4451012931343 46.18364346375466)
NDAA492,POINT(-99.46850029553819 48.90903318003796)
NDAA554,POINT(-100.7705354897617 48.29582327073996)
NDAA393,POINT(-99.58304871572487 46.55850022021659)
NDAA495,POINT(-99.133300840985 47.28789647372439)
NDAA396,POINT(-100.0227771756195 46.07594567929677)
NDAA409,POINT(-101.4510040147334 45.9710698782351)
NDAA547,POINT(-103.1241886389986 46.60424303967394)
NDAA442,POINT(-102.0628885781831 48.19279103515787)
NDAA187,POINT(-98.66027515755233 46.40249362060945)
NDAA188,POINT(-98.91461134626533 46.81368079974944)
NDAA191,POINT(-97.69851804320035 48.22941057926674)
NDAA179,POINT(-100.0888295491515 47.5868712796032)
NDAA404,POINT(-98.26357654203458 46.54680559214301)
NDAA171,POINT(-102.3780054291723 45.93887864785683)
NDAA199,POINT(-101.1358115053812 46.45154232727483)
NDAA160,POINT(-100.1646715929513 47.69834309560083)
NDAA200,POINT(-98.05295178466412 47.3069949860849)
NDAA155,POINT(-100.4899362317137 46.84264983898186)
NDAA154,POINT(-100.2647905148152 46.21860812097115)
NDAA201,POINT(-103.7428243221323 47.65634152706999)
NDAA510,POINT(-101.8136825075947 47.35010312540034)
NDAA149,POINT(-103.3097220491702 46.02518196041925)
NDAA137,POINT(-98.9602087168497 48.47983011430476)
NDAA130,POINT(-103.6377618914461 48.38356507601254)
NDAA124,POINT(-101.6804793023723 46.04821767586227)
NDAA120,POINT(-99.64969281385405 47.67353126321198)
NDAA218,POINT(-99.76677628538091 48.19359236349436)
NDAA111,POINT(-99.56193010536107 47.09792207985841)
NDAA110,POINT(-101.3814335104684 47.16808494006685)
NDAA100,POINT(-100.6705184297971 47.00115673904716)
NDAA094,POINT(-97.22994083548049 47.22449128420051)
NDAA116,POINT(-97.92736611502222 46.62650422980412)
NDAA231,POINT(-99.38449930220092 46.52322210937298)
NDAA091,POINT(-99.50566348724419 46.09626052643207)
NDAA089,POINT(-100.4296149893336 48.12748738337893)
NDAA087,POINT(-97.44625235780425 47.46283589288283)
NDAA085,POINT(-102.3770789721561 46.17223913252106)
NDAA082,POINT(-101.6872303414078 47.51088641615781)
NDAA079,POINT(-97.57908363500324 46.12974925586526)
NDAA276,POINT(-100.2383979583461 46.70317351868689)
NDAA280,POINT(-97.06122467530489 46.90004525838325)
NDAA228,POINT(-100.7243121283068 47.81114049659185)
NDAA227,POINT(-100.9720760933151 47.65603288687466)
NDAA287,POINT(-100.4302816449467 47.04964898737877)
NDAA291,POINT(-101.6898506918684 46.95386992394484)
NDAA294,POINT(-99.75630694205971 46.80054365374317)
KSCA531,POINT(-95.17447627403888 38.14255416427021)
NDAA225,POINT(-100.2559302538893 46.66847529468878)
NDAA028,POINT(-103.0590979519045 48.43470528140294)
NDAA526,POINT(-100.3347205505997 46.0511315706997)
NDAA302,POINT(-100.3379375892773 45.94290059053873)
NDAA311,POINT(-99.95670938215957 47.04899575587273)
TULA069,POINT(-97.19656072375295 36.15618890424788)
KSCA187,POINT(-94.7288186184662 38.5367286429311)
NDAA021,POINT(-98.90907676283643 46.54335684675576)
NDAA020,POINT(-100.1196388729545 46.78400485653198)
NDAA537,POINT(-100.5310403292059 48.83334335263704)
NDAA325,POINT(-100.786316007572 47.99157688329699)
NDAA326,POINT(-101.7496518768615 47.72994802791786)
NDAA543,POINT(-98.2958243220289 47.82080837371787)
NDAA415,POINT(-96.89230535588574 46.981654384739)
NDAA389,POINT(-100.087693706873 48.88463215117535)
NDAA363,POINT(-100.040853721465 47.72507574344684)
NDAA509,POINT(-97.03032699688528 47.37408996432938)
TULA333,POINT(-97.51409249538591 36.3736512373375)
KSCA603,POINT(-94.70306782081295 37.59530662833106)
NDAA359,POINT(-98.2501975535749 47.00697350567297)
NDAA229,POINT(-97.10315707580182 46.8600396939112)
NDAA358,POINT(-97.76147166253813 48.40614603846835)
NDAA419,POINT(-97.9299951068918 47.07740350383966)
NDAA353,POINT(-101.6922414679899 46.98139242723646)
KSCA301,POINT(-95.0258286290905 39.07145304820155)
KSCA155,POINT(-95.37482432129542 38.13291339688118)
NDAA115,POINT(-96.73917954950831 45.97728387825763)
NDAA112,POINT(-97.78976892118851 46.19274462310656)
NDAA161,POINT(-97.33884180264515 47.14767670728857)
NDAA002,POINT(-97.42139435401022 46.92685687044379)
NDAA345,POINT(-99.17164808310723 46.13932704165467)
NDAA192,POINT(-97.18774205020898 47.15104510039574)
NDAA341,POINT(-100.646707198748 46.0006090372308)
NDAA109,POINT(-97.61040636752425 46.91734374890638)
NDAA236,POINT(-103.6894200912737 47.8703138502221)
NDAA107,POINT(-100.2118641980201 48.04339035377808)
NDAA237,POINT(-103.8801187507457 48.02206899882628)
NDAA515,POINT(-103.6532765490023 48.00365795406171)
NDAA105,POINT(-97.71827045902471 46.52052891493301)
NDAA009,POINT(-98.53391211576657 46.41474506376339)
NDAA334,POINT(-103.5221721664462 47.12620148127402)
KSCA427,POINT(-95.01183872553456 39.21774703001839)
NDAA101,POINT(-97.97797436074953 46.51676373348011)
NDAA011,POINT(-99.6404892061586 48.97614106962122)
NDAA095,POINT(-97.55507407934878 46.64007699023876)
NDAA243,POINT(-101.9428240674861 47.02123056049435)
NDAA327,POINT(-97.70828168701877 48.99503138678739)
NDAA014,POINT(-97.45256510733154 46.88469180267818)
NDAA299,POINT(-96.82653243919034 46.60939321714654)
NDAA027,POINT(-98.00898460325048 47.72045410234539)
NDAA071,POINT(-101.6851956599856 47.2451767450598)
NDAA270,POINT(-100.4479627408856 48.49332883780674)
NDAA030,POINT(-97.9839798512398 47.81658362823256)
NDAA032,POINT(-99.01501075041108 47.96837971096752)
NDAA275,POINT(-99.24640829923369 47.86072049401542)
NDAA037,POINT(-100.4049527764799 47.81432209544136)
NDAA038,POINT(-103.6883394625007 48.01639468658795)
NDAA288,POINT(-97.05376249080253 47.0585577895083)
NDAA053,POINT(-97.8034799037971 45.96167171425214)
NDAA043,POINT(-97.67175586490916 46.18731486200299)
NDAA045,POINT(-98.74676930300828 46.10634705066209)
NDAA278,POINT(-98.32739493259918 47.95642311863669)
NDAA265,POINT(-99.86073786706012 46.43261242462506)
NDAA279,POINT(-96.99272699160606 46.03692215301103)
NDAA423,POINT(-102.0156190743064 46.64085223198757)
NDAA508,POINT(-98.02489447267543 48.20577997441562)
OKCA555,POINT(-97.98650110202816 35.46204479354653)
KSCA364,POINT(-95.37917488326904 39.11227636264373)
KSCA276,POINT(-94.95046758796866 38.96978348971796)
NDAA180,POINT(-97.25605485638918 47.09798683721203)
NDAA451,POINT(-97.71816907606788 46.27399947124915)
NDAA507,POINT(-99.52947287826511 48.25265691921619)
NDAA544,POINT(-103.0556331659058 48.09168568407897)
KSCA461,POINT(-95.24268368593643 37.35011937807702)
KSCA098,POINT(-95.05623210565287 39.07131827524643)
KSCA060,POINT(-96.97158035765632 39.03712685360431)
NDAA151,POINT(-97.11100830991143 47.85211656707808)
NDAA150,POINT(-98.25671208406813 47.68150946889386)
NDAA148,POINT(-97.78128910349439 46.67976023035655)
NDAA546,POINT(-99.63995633984239 46.1847958990216)
NDAA522,POINT(-101.1968341348928 48.25159322339421)
NDAA146,POINT(-97.36769132169044 47.20349378708909)
NDAA410,POINT(-98.56257056152992 48.04224470980749)
NDAA143,POINT(-96.74615691357356 46.4939170708897)
KSCA509,POINT(-95.07748085091269 38.75498588726775)
KSCA064,POINT(-96.2917567451648 38.43958599045926)
NDAA454,POINT(-97.37174346986062 46.93559648742256)
NDAA504,POINT(-97.9354304159499 46.43761139079243)
NDAA455,POINT(-97.81899744907454 46.75828036951445)
NDAA503,POINT(-98.0859461663038 45.98596942892576)
NDAA378,POINT(-100.2967922463335 46.32089421244707)
NDAA375,POINT(-97.34721715310255 47.85351754042041)
NDAA369,POINT(-98.17648154726768 46.66447088689452)
NDAA119,POINT(-102.9485196603844 47.20167577956085)
NDAA420,POINT(-97.32655809819131 46.93602404944663)
NDAA226,POINT(-97.00231477279112 46.68688875784146)
NDAA365,POINT(-97.22092992487251 46.56649874933819)
NDAA182,POINT(-96.84695548335293 46.66619938969391)
NDAA135,POINT(-96.85765275822426 47.20784804941422)
NDAA211,POINT(-98.92587631000531 47.35461474234503)
NDAA403,POINT(-97.33105412226064 48.04141584893939)
NDAA499,POINT(-97.83777409384433 47.6974027791934)
NDAA131,POINT(-99.65722071087292 46.20781030282871)
NDAA167,POINT(-101.1146267172955 48.96665043720878)
NDAA398,POINT(-98.05318661205003 47.74177061166998)
NDAA457,POINT(-101.5034802813755 46.72898459549315)
NDAA128,POINT(-102.7777518249037 46.12431652743926)
NDAA127,POINT(-101.5635314432566 47.97703330362522)
NDAA460,POINT(-99.20746560329492 47.21360866092459)
NDAA491,POINT(-99.7063664240854 48.40104748569933)
NDAA483,POINT(-97.14266581209397 46.09776927785132)
NDAA385,POINT(-102.037251458341 47.10870362276286)
NDAA215,POINT(-96.87111060333541 45.9774035927927)
NDAA380,POINT(-102.5928302761717 46.98506011283844)
NDAA217,POINT(-100.8788994897953 47.70159000112974)
NDAA440,POINT(-100.7823091965473 47.26401647318966)
NDAA219,POINT(-98.12883724711968 48.02039309240019)
NDAA220,POINT(-96.68182588514948 46.16847608368665)
NDAA427,POINT(-98.62384839046796 46.43308879392112)
NDAA165,POINT(-98.11933426808733 46.48729369736628)
NDAA527,POINT(-102.0244602142123 46.99268303002432)
NDAA307,POINT(-97.31338874897274 46.85780938929157)
NDAA530,POINT(-102.3423314857828 46.44878498179768)
NDAA261,POINT(-97.31223595930696 46.70767030096935)
NDAA022,POINT(-97.96587612134142 47.05155040941989)
NDAA313,POINT(-97.29008240888635 46.69028092045564)
NDAA019,POINT(-97.30842668622998 46.92752835692519)
NDAA257,POINT(-97.24450427445483 46.94435060685881)
NDAA318,POINT(-97.26386471968345 46.90633444800024)
NDAA255,POINT(-97.89977042241337 47.79107841557933)
NDAA174,POINT(-99.37321838264036 48.41088618546929)
NDAA449,POINT(-102.3011629227803 48.84093630697716)
NDAA090,POINT(-98.60773929653831 46.48240981724972)
NDAA249,POINT(-99.16239678706147 45.98323740526584)
NDAA323,POINT(-98.87881596573959 46.55206736716378)
NDAA016,POINT(-97.38504468751198 46.78169837550097)
NDAA246,POINT(-97.24601603429338 46.87990939739498)
NDAA092,POINT(-102.4664582977871 47.82574631294274)
NDAA073,POINT(-97.39671278858305 47.62288952733681)
KSCA262,POINT(-97.31505213304902 38.83313848042393)
KSCA611,POINT(-97.10599520087914 38.66878922353062)
KSCA451,POINT(-96.98553516747542 37.97937946901553)
NDAA072,POINT(-97.80284970817532 46.00362958720542)
NDAA518,POINT(-98.5489889452874 46.40705693796132)
NDAA267,POINT(-97.24788500058243 46.9335730809921)
NDAA070,POINT(-97.6470617744642 48.59647176647152)
NDAA069,POINT(-97.61002796822308 46.96320122264564)
NDAA296,POINT(-102.954167655009 46.45854182948743)
NDAA031,POINT(-104.0187880121296 47.69472137052924)
NDAA061,POINT(-103.2378185371758 47.47591203141894)
NDAA059,POINT(-97.4067612075547 46.36726976169802)
NDAA309,POINT(-98.43462046800646 46.61162526335917)
NDAA190,POINT(-98.43293644738084 46.97467352587687)
NDAA290,POINT(-102.5723663883949 48.15601499725371)
NDAA330,POINT(-98.8918706539005 48.50737397581396)
NDAA488,POINT(-97.84186574414248 48.91554502962515)
NDAA076,POINT(-99.10592698124898 48.14481781626327)
NDAA523,POINT(-98.3727657913507 46.16352040138718)
NDAA435,POINT(-98.00778458678607 46.33068321596886)
NDAA068,POINT(-98.94150596840389 46.25744989559358)
OKCA029,POINT(-98.32675485369731 35.9052501731601)
KSCA426,POINT(-94.77573591843343 38.80518461191716)
KSCA636,POINT(-97.14658713467976 37.80758502828213)
KSCA298,POINT(-97.28710210580464 39.0837285556651)
NDAA007,POINT(-100.1448377330194 47.01358978850421)
NDAA083,POINT(-100.2390365520094 47.09265007300944)
NDAA360,POINT(-101.4935856161609 48.17732614264902)
NDAA425,POINT(-101.4723767592576 48.33467017268781)
NDAA224,POINT(-103.3691656426863 48.11142122472441)
NDAA350,POINT(-101.8993536952327 46.95624102028314)
OKCA516,POINT(-98.14214073391352 35.68536096744315)
OKCA702,POINT(-98.53712431162582 35.14256592842555)
KSCA722,POINT(-95.53134065669657 37.20123510915763)
NDAA245,POINT(-103.6994408142799 47.53200072238096)
NDAA093,POINT(-98.8249923310547 47.72090808054179)
NDAA489,POINT(-100.6064299094147 46.16562406500496)
NDAA453,POINT(-103.1283673381755 48.22213363981493)
NDAA134,POINT(-101.7501991360131 46.01716027524242)
NDAA319,POINT(-96.69252159156605 46.29889810566757)
STLA413,POINT(-93.54398600710257 37.0596392473286)
NDAA332,POINT(-99.13782804947928 48.14702385689528)
NDAA283,POINT(-100.5942492527808 48.17704303060599)
NDAA223,POINT(-99.50283096697153 48.19672401966812)
OKCA522,POINT(-97.48678699226242 35.61359747621557)
OKCA212,POINT(-99.05539087803182 36.54597090370328)
OKCA485,POINT(-98.18675396404477 35.46603618845464)
OKCA259,POINT(-97.933433986597 35.51035442815932)
OKCA477,POINT(-98.54816964029362 35.00584311077544)
OKCA476,POINT(-98.15719804372715 34.94194848637898)
OKCA365,POINT(-97.94282331801136 35.81352954081796)
KSCA541,POINT(-96.32902321389993 38.4591209637393)
NDAA244,POINT(-103.252298150267 46.62268886751438)
NDAA438,POINT(-103.7698230176956 47.05194980221133)
NDAA474,POINT(-103.5671420431095 48.60895079049895)
NDAA005,POINT(-98.19707084870393 46.38488185742931)
NDAA114,POINT(-103.6905873836882 46.79373811004442)
OKCA215,POINT(-98.13534221254926 34.71776740056846)
OKCA652,POINT(-97.44387776605001 35.5671422994479)
OKCA470,POINT(-97.96378617857023 35.60779098679667)
OKCA086,POINT(-97.57485963872617 35.41998099987213)
NDAA361,POINT(-99.96573425100357 46.04343648604535)
NDAA520,POINT(-101.477038958465 46.7023011822041)
NDAA204,POINT(-98.38413126216106 46.9451770182441)
NDAA284,POINT(-97.94789338210192 48.0489438637677)
NDAA448,POINT(-99.50474838383289 47.96748461094463)
NDAA289,POINT(-98.34394505305137 47.85562495651578)
NDAA468,POINT(-97.41701328664833 47.94856484506873)
OKCA058,POINT(-98.33112821901885 35.08279390760458)
OKCA560,POINT(-97.4836116334206 35.60025274866268)
NDAA048,POINT(-102.0328291366388 47.87101333498821)
NDAA539,POINT(-99.09951544954605 48.39232208366841)
NDAA248,POINT(-99.66328489325706 47.61767565255651)
NDAA207,POINT(-97.43154205947329 47.99606387695483)
NDAA424,POINT(-97.34624544734385 47.56955255748873)
NDAA549,POINT(-97.59722824055645 47.90539774642815)
NDAA088,POINT(-99.43545071120379 46.83007732318957)
OKCA637,POINT(-99.44638114635622 35.70147291960667)
NDAA054,POINT(-97.73079943842973 47.84209819222969)
NDAA321,POINT(-103.1473353189511 47.70690949529483)
NDAA478,POINT(-97.36358093822979 47.49325425363445)
NDAA412,POINT(-97.70545083088808 48.79297838644055)
NDAA058,POINT(-98.1308694720768 46.10987504095802)
NDAA405,POINT(-97.81232498878519 46.43246254989083)
NDAA136,POINT(-101.9436533447213 47.25583260843312)
OKCA452,POINT(-97.94576952371006 35.63861993980317)
OKCA561,POINT(-99.2920820755532 36.29678447293126)
OKCA685,POINT(-99.94809500374284 34.67462827679688)
OKCA281,POINT(-99.14408377141994 35.68045090323412)
OKCA682,POINT(-98.44107771934641 36.97828726570807)
OKCA570,POINT(-99.1299951212004 36.59698508028359)
OKCA572,POINT(-98.44833329602781 34.88299085458527)
OKCA202,POINT(-98.05368034102506 34.35063749217205)
OKCA201,POINT(-97.82677014974577 35.96315176146938)
OKCA595,POINT(-98.10020639227203 34.92562190468109)
OKCA115,POINT(-97.66389804991383 35.53865969937622)
OKCA024,POINT(-99.29587039400174 35.52005271050974)
OKCA669,POINT(-98.05404281755924 35.32904729168474)
NDAA368,POINT(-100.504845896536 47.21800369231634)
NDAA399,POINT(-96.94924307372136 46.52282123598165)
